gene	M_1	M_2	M_3	O_1	O_2	O_3	WT_1	WT_2	WT_3
AT1G01010	107	220	137	64	64	51	269	145	156
AT1G01020	313	334	310	294	199	193	290	350	284
AT1G01030	55	55	48	43	101	43	745	872	421
AT1G01040	1655	2016	1974	1850	1491	1565	1307	1614	1162
AT1G01046	37	44	53	75	34	50	28	29	44
AT1G01050	1053	1109	1040	855	818	865	674	760	790
AT1G01060	38	50	100	219	136	196	84	20	72
AT1G01070	119	168	187	16	0	17	22	2	24
AT1G01080	2916	2081	2908	2004	2144	1523	1837	2851	2143
AT1G01090	5535	4690	5230	4423	4189	3564	3727	4931	4144
AT1G01100	5695	3953	4465	1831	1423	971	1905	3311	1872
AT1G01110	238	145	192	30	58	30	43	145	89
AT1G01120	3128	1628	3681	3858	3523	2904	10551	5822	7331
AT1G01130	39	36	56	72	67	85	62	83	101
AT1G01140	895	2283	1513	3374	6619	4422	5837	6866	6881
AT1G01150	2	0	6	0	0	0	0	0	0
AT1G01160	1576	1510	1541	1226	1083	1016	712	1157	842
AT1G01170	2082	2123	2321	2000	1689	1174	1147	1918	1431
AT1G01180	416	1006	758	796	626	650	339	259	442
AT1G01183	0	0	0	0	0	0	0	0	0
AT1G01190	126	167	79	10	38	11	205	117	134
AT1G01200	34	18	23	4	8	10	17	21	5
AT1G01210	294	220	256	208	110	142	132	205	121
AT1G01220	1119	1038	1200	948	731	759	441	741	592
AT1G01225	93	50	60	51	25	21	16	53	25
AT1G01230	519	728	630	601	501	436	618	581	653
AT1G01240	1236	2508	2201	2346	1726	2211	979	1466	1982
AT1G01250	74	40	38	140	70	76	38	76	64
AT1G01260	606	780	540	800	1816	730	2872	3590	2359
AT1G01270	0	0	0	0	0	0	0	0	0
AT1G01280	0	0	0	0	0	0	1	0	0
AT1G01290	423	479	417	358	311	278	229	258	188
AT1G01300	2814	1684	2445	2046	3252	2230	1982	3354	1745
AT1G01305	0	0	0	16	0	0	0	0	2
AT1G01310	9	5	13	122	10	5	2	2	9
AT1G01320	10463	12427	10704	8644	9091	8778	4551	6254	5310
AT1G01335	0	0	0	0	0	0	0	0	0
AT1G01340	152	297	196	171	368	127	350	163	247
AT1G01350	598	587	620	501	444	328	580	505	499
AT1G01355	22	46	23	4	0	1	4	0	3
AT1G01360	271	349	423	380	285	269	375	471	713
AT1G01370	137	44	99	27	23	8	41	50	25
AT1G01380	19	16	44	19	12	10	0	6	14
AT1G01390	26	53	65	102	122	208	32	58	46
AT1G01400	0	1	4	0	3	2	0	0	0
AT1G01410	0	0	0	0	0	0	0	1	0
AT1G01420	195	273	314	353	161	220	88	94	124
AT1G01430	2150	2173	2252	1905	942	1833	405	838	936
AT1G01440	988	1135	1256	855	689	882	639	564	698
AT1G01448	773	760	811	532	510	464	246	453	334
AT1G01450	452	473	515	319	319	311	154	290	228
AT1G01453	4	16	8	1	0	2	0	0	1
AT1G01460	0	1	0	16	0	4	2	0	1
AT1G01470	2519	5528	3894	10049	20776	13461	35036	23116	32969
AT1G01480	76	457	214	41	163	37	227	94	202
AT1G01490	2077	3179	2607	2281	1334	1707	649	860	973
AT1G01500	696	1260	795	690	608	503	588	696	653
AT1G01510	1838	1540	1662	1085	997	827	730	1025	642
AT1G01520	16	4	5	8	8	11	2	1	22
AT1G01530	4	5	0	0	0	0	0	0	0
AT1G01540	4177	2639	4206	3438	2406	2698	2003	2136	1801
AT1G01550	4047	6914	5628	6439	8010	6437	6686	5435	6985
AT1G01560	416	468	294	657	2453	752	1083	476	684
AT1G01570	60	55	61	42	102	51	185	114	133
AT1G01580	12	30	42	22	10	48	37	34	80
AT1G01590	24	31	4	56	33	41	7	5	12
AT1G01600	315	59	237	20	44	30	4	44	5
AT1G01610	2066	1534	2301	1318	872	1000	987	832	1132
AT1G01620	16113	12224	22857	10439	6829	10214	2324	4704	4144
AT1G01630	1559	1541	1913	1718	1208	1050	1020	1188	1120
AT1G01640	20	141	53	30	24	34	16	25	32
