logFC	logCPM	LR	PValue	FDR
AT3G02840	-5.28736920148565	6.01373612588447	307.830436229215	6.48417651799066e-69	1.37613678241316e-64
AT1G09950	-5.30241529971603	4.81918873565945	261.120017582564	9.78094991692416e-59	1.03790550043441e-54
AT2G32140	-4.03978202175252	5.60853635306825	250.22329398693	2.32145175542786e-56	1.64227235351485e-52
AT1G10560	-5.63600132095521	6.87805246240241	241.688426377862	1.68483926952549e-54	7.83977137841556e-51
AT1G53480	-7.07573404155164	3.60540034827946	228.566407376316	1.224586287015e-51	4.33156579488657e-48
AT1G32910	-6.93828680033006	4.26330454304897	224.724889986472	8.42971943892087e-51	2.55577050931739e-47
AT3G54020	-4.32258515639492	5.81574639812959	218.409326237823	2.01073899718408e-49	5.3342392171547e-46
AT3G01165	-5.19076317354423	3.6396923664393	205.892278150581	1.08167200172067e-46	2.55070276583532e-43
AT1G80840	-3.73593375521203	7.99949911123218	197.643668242382	6.82419018781564e-45	1.44829788356011e-41
AT2G23340	-3.68377838665014	6.10732339740637	196.6399053976	1.13008246586941e-44	2.18034001574058e-41
AT1G16850	-3.58088849984879	4.79385546673	193.11261980355	6.65183746465701e-44	1.17643288760346e-40
AT5G59510	-7.18566545188124	2.24689578184665	190.909663244777	2.01267494211793e-43	3.28576925358222e-40
AT4G24960	-4.57567913528594	7.14416532014318	188.390372259794	7.13979398974647e-43	1.08234177031707e-39
AT2G44840	-5.10837162422947	7.25982532682801	187.739496674332	9.90296532394924e-43	1.40113755380116e-39
AT1G74440	-3.93465322311098	6.52061399669761	184.633747500979	4.7179626470418e-42	6.25808257863551e-39
AT2G34930	-5.37870037463822	8.9521812681239	183.900253118879	6.82159640865311e-42	8.51616121063793e-39
AT2G22870	-3.97384850003287	7.04239781748712	183.554208475313	8.11770594896108e-42	9.57122629748894e-39
AT1G07887	-7.2277506506353	3.55772916436713	182.032699247888	1.74426737969733e-41	1.94834666312191e-38
AT1G68250	-7.03594189663745	2.41125117125802	179.089855851036	7.6585126406977e-41	8.12683068867637e-38
AT5G19240	-3.38651995103622	7.70744844887995	178.384367393734	1.09191056930446e-40	1.10350561963564e-37
AT1G09457	-5.20848503660272	3.90461130408308	178.188351877805	1.20500107151303e-40	1.16244262457823e-37
