Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	ath04626:Plant-pathogen interaction	49	2.0976027397260273	3.6150677129731907E-12	AT5G46330, AT3G48090, AT1G18210, AT2G38470, AT4G01250, AT5G49480, AT1G76650, AT4G21940, AT5G37770, AT5G13160, AT5G42380, AT3G57530, AT5G66210, AT3G59350, AT3G59790, AT3G25600, AT4G09570, AT1G01120, AT3G10280, AT2G17290, AT1G51660, AT3G07040, AT1G21550, AT3G56800, AT5G20480, AT2G13790, AT4G08500, AT2G30250, AT3G20410, AT5G04870, AT2G41100, AT1G66400, AT2G47060, AT3G01830, AT2G30740, AT3G21220, AT1G64060, AT2G46720, AT3G17690, AT2G43290, AT1G18890, AT1G76640, AT1G19780, AT1G76040, AT4G30560, AT3G10300, AT2G41110, AT4G33430, AT1G07720	439	204	5430	2.9709902184108268	4.2296766089577886E-10	4.229629224178633E-10	3.7596704214921183E-10
KEGG_PATHWAY	ath01100:Metabolic pathways	250	10.702054794520548	2.6729196100198535E-8	AT3G02570, AT1G65840, AT1G08250, AT1G55120, AT1G14250, AT5G42650, AT2G18700, AT1G02390, AT5G15950, AT3G22740, AT1G30620, AT2G20340, AT4G39940, AT1G19150, AT4G23920, AT4G18440, AT4G17470, AT5G52570, AT2G06050, AT2G42010, AT4G10040, AT4G31780, AT1G11790, AT5G16230, AT2G39770, AT5G26030, AT5G48880, AT3G23820, AT1G25155, AT5G05590, AT4G37770, AT2G43590, AT3G14440, AT3G62760, AT2G22190, AT3G45040, AT3G51160, AT2G34850, AT3G09540, AT1G70410, AT3G01820, AT1G53830, AT1G26570, AT4G34710, AT2G02010, AT5G38120, AT1G73480, AT5G58690, AT4G28720, AT3G55410, AT5G43890, AT4G00570, AT5G47330, AT1G58300, AT1G09350, AT5G14950, AT1G74100, AT2G46720, AT1G44790, AT5G56720, AT5G39320, AT3G09560, AT1G07720, AT1G12550, AT2G34430, AT1G10370, AT5G40390, AT2G38230, AT2G18620, AT5G64120, AT2G30870, AT1G64390, AT4G38530, AT2G43020, AT4G11570, AT4G08170, AT4G10120, AT3G47950, AT5G19040, AT4G39980, AT4G15130, AT3G59710, AT3G27540, AT3G22890, AT2G20810, AT1G25083, AT2G24850, AT1G27130, AT1G58290, AT3G27690, AT3G07960, AT4G29600, AT3G01180, AT3G55440, AT5G26220, AT1G18870, AT3G21230, AT1G17420, AT4G01190, AT3G53260, AT4G29840, AT5G13700, AT3G59480, AT2G39420, AT1G20270, AT4G39640, AT1G10360, AT3G25140, AT4G29610, AT1G60260, AT2G47730, AT2G22330, AT5G56760, AT1G51680, AT2G01890, AT3G13730, AT1G09940, AT3G11670, AT4G19020, AT4G35970, AT5G48900, AT1G77490, AT3G09920, AT1G34260, AT2G39800, AT1G13560, AT3G55940, AT4G24730, AT4G01850, AT2G32290, AT2G34590, AT3G01640, AT1G77420, AT1G19550, AT4G13710, AT1G19670, AT3G43270, AT5G07920, AT1G76690, AT1G76570, AT2G43620, AT4G34650, AT1G21980, AT5G19220, AT1G12240, AT1G14540, AT1G24909, AT5G22630, AT5G63980, AT2G22910, AT1G71697, AT1G69370, AT5G10300, AT1G24100, AT3G17790, AT5G57190, AT1G69930, AT4G13260, AT2G29420, AT1G29910, AT3G49160, AT5G48930, AT5G49900, AT4G01950, AT1G17340, AT5G63770, AT5G15650, AT5G25450, AT2G38010, AT1G67880, AT2G37040, AT3G02870, AT4G22330, AT3G14050, AT1G71100, AT5G58730, AT2G44810, AT4G16760, AT2G29450, AT1G20510, AT1G04180, AT4G33910, AT1G12900, AT2G14750, AT5G65140, AT3G59050, AT2G36880, AT4G31290, AT3G11470, AT2G22810, AT4G18010, AT1G77330, AT2G29440, AT5G43935, AT4G22590, AT3G25770, AT4G31500, AT3G44720, AT2G41480, AT5G03080, AT1G25220, AT5G55120, AT1G17290, AT1G08200, AT4G14680, AT3G15720, AT3G54420, AT5G15180, AT3G25760, AT1G64200, AT3G25400, AT2G38400, AT1G01120, AT1G26560, AT3G10280, AT4G11280, AT3G15730, AT3G10720, AT5G54160, AT4G20070, AT3G21070, AT1G31690, AT3G04050, AT4G37980, AT2G22740, AT4G39800, AT1G18360, AT1G49530, AT2G26540, AT3G29360, AT5G01320, AT1G78050, AT1G80820, AT2G29490, AT1G24807, AT3G25780, AT1G56600, AT3G23920, AT4G05020, AT4G34240, AT1G70580, AT5G38710, AT1G72520, AT2G04400, AT1G76680, AT5G03630, AT4G17480, AT5G28237, AT3G45140, AT3G17810	439	2406	5430	1.2852265691125262	3.1273110929763703E-6	1.5636579718616143E-6	1.3899181972103239E-6
KEGG_PATHWAY	ath00592:alpha-Linolenic acid metabolism	16	0.684931506849315	5.767943155398803E-7	AT3G25770, AT3G25760, AT5G42650, AT3G25780, AT1G19640, AT1G17420, AT5G48880, AT1G72520, AT2G44810, AT1G76690, AT1G76680, AT5G38120, AT3G45140, AT4G16760, AT2G06050, AT1G20510	439	43	5430	4.602426232981935	6.748267732137325E-5	2.2494978306055332E-5	1.9995536272049182E-5
KEGG_PATHWAY	ath01110:Biosynthesis of secondary metabolites	146	6.25	1.9837805051637512E-6	AT2G39800, AT3G02570, AT1G13560, AT4G01850, AT1G14250, AT1G08250, AT1G55120, AT2G18700, AT1G02390, AT5G42650, AT2G34590, AT2G32290, AT3G22740, AT4G29740, AT2G20340, AT1G77420, AT1G19670, AT4G18440, AT5G07920, AT1G76690, AT5G05860, AT5G52570, AT4G34650, AT2G06050, AT3G25180, AT2G42010, AT1G11790, AT5G19220, AT1G14540, AT1G12240, AT1G24909, AT5G22630, AT2G39770, AT2G22910, AT5G48880, AT5G26030, AT1G69370, AT1G25155, AT5G05590, AT5G10300, AT4G37770, AT1G24100, AT3G14440, AT5G57190, AT2G22190, AT3G49160, AT5G48930, AT4G01950, AT1G30040, AT1G19640, AT5G63770, AT3G01820, AT2G37040, AT4G11911, AT3G02870, AT1G71100, AT5G58730, AT2G44810, AT4G34710, AT5G38120, AT2G02010, AT4G16760, AT1G20510, AT3G55410, AT1G58300, AT5G65140, AT2G36880, AT1G74100, AT2G46720, AT2G22810, AT5G56720, AT3G09560, AT1G77330, AT5G43935, AT1G07720, AT1G12550, AT4G22590, AT3G25770, AT4G31500, AT5G64120, AT2G18620, AT3G53160, AT3G44720, AT4G11570, AT2G41480, AT1G25220, AT5G55120, AT4G10120, AT4G14680, AT5G19040, AT2G01180, AT4G39980, AT5G15180, AT3G25760, AT3G22890, AT1G25083, AT2G38400, AT2G24850, AT1G01120, AT1G26560, AT1G75450, AT3G10280, AT4G11280, AT1G58290, AT3G15730, AT5G54160, AT1G31690, AT3G01180, AT3G04050, AT3G55440, AT1G18870, AT3G21230, AT1G17420, AT4G21200, AT3G53260, AT4G29840, AT3G59480, AT2G39420, AT4G37980, AT1G02400, AT4G39800, AT1G49530, AT2G26540, AT5G01320, AT1G78050, AT1G03055, AT1G80820, AT3G52340, AT1G24807, AT1G60260, AT3G25780, AT3G23920, AT4G34240, AT1G70580, AT5G38710, AT2G22330, AT5G56760, AT1G72520, AT1G51680, AT2G04400, AT3G13730, AT1G09940, AT1G76680, AT3G45140, AT5G28237, AT3G13610	439	1287	5430	1.4031678268580319	2.3207561561577883E-4	5.8025579776039726E-5	5.1578293134257536E-5
KEGG_PATHWAY	ath04075:Plant hormone signal transduction	46	1.9691780821917808	1.1287862318806281E-5	AT5G17490, AT1G63500, AT5G47220, AT3G23030, AT1G15580, AT1G32640, AT1G68210, AT1G66350, AT3G04730, AT3G17860, AT1G51950, AT1G72450, AT3G15540, AT1G19050, AT5G62920, AT1G74950, AT1G72770, AT4G26080, AT5G13220, AT3G48100, AT5G20900, AT2G46370, AT1G07430, AT2G25490, AT5G59220, AT4G03400, AT5G45110, AT3G09870, AT4G01026, AT4G22620, AT1G17550, AT3G21220, AT3G61830, AT3G59790, AT1G70700, AT1G19180, AT1G52830, AT5G53590, AT3G63010, AT1G17380, AT1G01360, AT4G12410, AT1G51660, AT5G13370, AT3G11410, AT4G33430	439	291	5430	1.9552403541319305	0.001319815621456888	2.6413597826006695E-4	2.3478753623117066E-4
KEGG_PATHWAY	ath04016:MAPK signaling pathway - plant	27	1.1558219178082192	4.0291494399792194E-5	AT3G25250, AT5G46330, AT2G32510, AT1G32640, AT4G08500, AT2G38470, AT4G01250, AT5G49480, AT2G30250, AT1G72770, AT4G26080, AT1G07430, AT2G25490, AT5G59220, AT4G01026, AT1G17550, AT3G21220, AT3G59790, AT1G64060, AT1G01360, AT1G51660, AT1G05100, AT4G11280, AT3G56800, AT2G41110, AT3G11410, AT4G33430	439	140	5430	2.3854539537910835	0.004703105417118825	7.856841407959477E-4	6.983859029297314E-4
KEGG_PATHWAY	ath00400:Phenylalanine, tyrosine and tryptophan biosynthesis	15	0.6421232876712328	9.911059902551115E-5	AT1G11790, AT1G24807, AT1G24909, AT5G22630, AT1G08250, AT1G25083, AT1G69370, AT5G05590, AT1G25155, AT3G44720, AT1G25220, AT2G24850, AT2G04400, AT5G28237, AT4G39980	439	56	5430	3.3131304913765054	0.011529534350042558	0.0016565628694264008	0.0014725003283790228
KEGG_PATHWAY	ath04070:Phosphatidylinositol signaling system	16	0.684931506849315	0.0010377924667503468	AT3G09920, AT1G34260, AT3G55940, AT3G07960, AT5G63770, AT5G63980, AT4G01190, AT3G02870, AT5G49480, AT4G38530, AT4G08170, AT5G07920, AT3G56800, AT2G41110, AT1G21980, AT5G58690	439	77	5430	2.570186078158743	0.11439545678897733	0.015177714826223822	0.013491302067754507
KEGG_PATHWAY	ath00562:Inositol phosphate metabolism	16	0.684931506849315	0.0013655541407125511	AT3G09920, AT1G34260, AT3G55940, AT3G07960, AT3G55440, AT1G17340, AT5G63980, AT4G01190, AT3G02870, AT4G38530, AT4G08170, AT4G39800, AT5G58730, AT4G18010, AT1G21980, AT5G58690	439	79	5430	2.505118076180041	0.1477531133404445	0.017752203829263166	0.015779736737122813
KEGG_PATHWAY	ath00480:Glutathione metabolism	18	0.7705479452054794	0.0032863795486900715	AT1G10360, AT1G10370, AT2G29490, AT5G26220, AT2G30870, AT2G47730, AT4G31290, AT1G44790, AT1G19550, AT1G27130, AT3G62760, AT1G69930, AT2G29440, AT4G35970, AT2G29450, AT4G39640, AT2G29420, AT1G77490	439	103	5430	2.1615763982572926	0.3196443561529937	0.038450640719673836	0.03417834730637675
