logFC	logCPM	LR	PValue	FDR
AT4G31620	6.50575578615691	3.97261210904739	241.505393994464	1.84699886406624e-54	7.83977137841556e-51
AT4G37540	4.1303224326493	4.16292356681331	175.718702019023	4.17121353308449e-40	3.84894194837618e-37
AT3G18550	7.36780156354281	2.70154154438034	132.762390811547	1.01906965948914e-30	3.72891644540312e-28
AT1G75750	4.37788799864267	8.48573249963026	131.620863252526	1.81105334493876e-30	6.51457375248056e-28
AT4G34950	3.19969487955149	7.20226716944998	126.442767403693	2.45994656782428e-29	7.79215612073651e-27
AT5G07580	3.47271620846053	5.57751653752344	124.774162605516	5.70294341203562e-29	1.75410968164684e-26
AT1G18010	2.92656376221291	5.37743363476211	119.951178803966	6.48368951788948e-28	1.76414541843806e-25
AT1G18000	2.92615518343971	5.37782127171637	119.760980585064	7.13612243805587e-28	1.91708767725139e-25
AT1G15670	3.37511355141142	5.83367660312869	98.4192894177237	3.38545420378218e-23	5.79431407797332e-21
AT5G20110	5.00780315716966	2.42474531460773	97.5310943546852	5.30171451855744e-23	8.930022795821e-21
AT2G24762	5.8513988670725	2.52205445521297	96.5118772695558	8.87100683051825e-23	1.45945254235728e-20
AT1G03300	4.50372156512187	1.50836715999385	93.7746400577112	3.53573058868981e-22	5.47728542217254e-20
AT1G71970	2.97998439787888	3.56915514688591	93.711005201306	3.65125121748759e-22	5.61525395570574e-20
AT3G50650	2.64808132794268	4.11330208653255	91.6277294262025	1.04616706027635e-21	1.50018942704359e-19
AT2G47160	2.72043076194599	4.07756076408206	91.0015040043584	1.43562951893327e-21	2.03122435202138e-19
AT1G73830	5.55849731908094	2.47614899957831	89.7307304227954	2.72883273084974e-21	3.6654441168876e-19
AT2G20180	2.35702878687913	3.72922389094372	88.7413503053056	4.49960612258674e-21	5.93137520122101e-19
AT2G42300	2.55967696912019	4.04106614355463	84.9195634150403	3.10753178396384e-20	3.83436901459678e-18
AT4G14465	6.57273917151024	0.511453600695534	83.51664353087	6.31817877824373e-20	7.57574622659134e-18
AT5G64550	2.32203199560742	3.55504816929865	81.706331758897	1.57886855124583e-19	1.81126093314001e-17
AT2G44130	2.65674815298053	5.31468958486436	79.9936904488716	3.7560724541527e-19	4.07285518681574e-17
AT1G23390	2.53856270269568	7.20304387888288	79.7385460531336	4.27380987806982e-19	4.55794306745105e-17
AT2G16660	2.94911200641312	7.93805209906822	79.7132262165374	4.32893100077293e-19	4.5936451314702e-17
