Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	ath04075:Plant hormone signal transduction	58	2.392739273927393	2.7798112559803986E-13	AT5G18020, AT3G23150, AT4G34810, AT4G35900, AT3G19690, AT5G54510, AT3G03820, AT1G16510, AT2G38310, AT4G38850, AT5G13320, AT5G35750, AT5G43700, AT3G16857, AT1G08320, AT2G40670, AT4G34770, AT5G18010, AT1G67710, AT5G50760, AT2G14610, AT5G27320, AT1G68640, AT4G26120, AT2G45210, AT2G41370, AT1G04310, AT4G14550, AT4G38860, AT1G56150, AT5G42750, AT4G27260, AT5G46790, AT3G50070, AT3G03840, AT2G21210, AT5G53160, AT4G34790, AT1G77920, AT2G01200, AT2G01760, AT1G75580, AT4G34750, AT2G21050, AT2G23030, AT3G12830, AT3G03450, AT2G40940, AT1G28130, AT1G19850, AT3G03850, AT4G38840, AT4G34160, AT1G49720, AT4G37390, AT4G33950, AT4G34760, AT4G16110	383	291	5430	2.8257651207235335	3.141398252637373E-11	3.1411867192578506E-11	3.0577923815784386E-11
KEGG_PATHWAY	ath04814:Motor proteins	27	1.1138613861386137	1.598912102752837E-9	AT1G59540, AT3G23670, AT5G27550, AT1G18550, AT3G19050, AT1G18410, AT2G37420, AT1G04600, AT5G54670, AT1G72250, AT5G02370, AT3G17360, AT3G20150, AT3G12110, AT2G28620, AT3G10310, AT5G23910, AT4G21270, AT5G19780, AT5G20110, AT5G27000, AT2G36200, AT4G05190, AT1G18370, AT2G22610, AT3G44050, AT4G14150	383	98	5430	3.9060585069536957	1.8067705265245593E-7	9.03385338055353E-8	8.794016565140604E-8
KEGG_PATHWAY	ath00941:Flavonoid biosynthesis	9	0.3712871287128713	2.079242780389211E-4	AT5G13930, AT3G51240, AT5G05270, AT5G07990, AT1G67980, AT5G63590, AT5G42800, AT5G63580, AT4G22880	383	25	5430	5.103916449086161	0.023223960813248512	0.007831814472799362	0.00762389019476044
KEGG_PATHWAY	ath00073:Cutin, suberine and wax biosynthesis	10	0.4125412541254125	8.14000148318702E-4	AT5G58860, AT1G72970, AT1G02205, AT1G02190, AT1G11600, AT3G10570, AT5G63560, AT1G01600, AT5G22500, AT1G63710	383	37	5430	3.8317691059205417	0.08791261241306858	0.022995504190003332	0.022385004078764304
KEGG_PATHWAY	ath02010:ABC transporters	12	0.49504950495049505	0.007254525180521895	AT3G21090, AT1G15520, AT5G06530, AT3G28345, AT3G53510, AT2G37280, AT2G13610, AT2G36910, AT1G51460, AT5G52860, AT1G31770, AT1G53270	383	68	5430	2.5019198279834125	0.5607775588592522	0.16395226907979482	0.15959955397148168
KEGG_PATHWAY	ath00062:Fatty acid elongation	8	0.33003300330033003	0.01135247216502195	AT4G34250, AT2G16280, AT2G15090, AT1G25450, AT1G24470, AT2G28630, AT2G26640, AT5G04530	383	36	5430	3.1505657093124455	0.7247750677547108	0.2138048924412467	0.20812865635873573
KEGG_PATHWAY	ath00908:Zeatin biosynthesis	7	0.2887788778877888	0.022116559914637127	AT2G36800, AT1G22370, AT2G41510, AT2G19500, AT1G78270, AT2G36750, AT1G22400	383	32	5430	3.101338120104439	0.9201193928953273	0.3570244671934279	0.34754594151572626
KEGG_PATHWAY	ath00944:Flavone and flavonol biosynthesis	3	0.12376237623762376	0.026929743973506205	AT5G17050, AT5G07990, AT2G36790	383	4	5430	10.633159268929504	0.9542601926529406	0.3803826336257751	0.3702839796357103
KEGG_PATHWAY	ath03008:Ribosome biogenesis in eukaryotes	13	0.5363036303630363	0.0409997553597114	AT4G25630, AT3G26480, AT5G14050, AT1G56110, AT5G27120, AT3G21540, AT3G57150, AT1G26530, AT3G05060, AT3G12860, AT2G25420, AT1G06720, AT2G47990	383	98	5430	1.8806948366814091	0.9911790546919992	0.5147747061830431	0.5011081210631393
KEGG_PATHWAY	ath01110:Biosynthesis of secondary metabolites	105	4.3316831683168315	0.05444071430768561	AT5G17050, AT4G25420, AT4G14090, AT1G67980, AT3G21770, AT5G63590, AT1G35910, AT1G55920, AT4G34250, AT3G14550, AT5G56090, AT5G58390, AT5G04530, AT4G37520, AT1G78090, AT4G26520, AT5G23320, AT2G19500, AT5G63580, AT2G31250, AT5G13930, AT4G13660, AT2G19590, AT3G20440, AT1G07420, AT1G08630, AT4G12290, AT4G37530, AT1G61810, AT4G32810, AT1G13700, AT5G48010, AT4G21760, AT4G11910, AT2G17630, AT2G36750, AT3G01420, AT2G22420, AT5G04230, AT1G02205, AT2G38380, AT1G22370, AT3G05630, AT1G76090, AT3G08860, AT2G34500, AT2G36800, AT2G18950, AT4G36220, AT1G23870, AT1G52570, AT5G07990, AT2G28630, AT3G52940, AT4G31970, AT3G30775, AT2G29320, AT3G06850, AT1G02190, AT2G38110, AT5G65690, AT3G45130, AT2G26640, AT4G18360, AT1G78270, AT1G62810, AT3G43190, AT3G49110, AT1G15550, AT5G14130, AT5G15860, AT1G62380, AT4G22880, AT2G16790, AT2G44480, AT5G05270, AT2G16280, AT4G16690, AT1G79530, AT4G34740, AT1G78440, AT4G37970, AT1G22400, AT3G51240, AT1G10070, AT5G11920, AT4G25000, AT3G18850, AT1G78970, AT1G24470, AT5G04950, AT1G21400, AT2G29090, AT2G37130, AT3G03530, AT3G21500, AT4G37990, AT4G33150, AT2G15090, AT1G25450, AT4G14930, AT3G11430, AT2G41510, AT4G39770, AT5G42800	383	1287	5430	1.1566762219503732	0.9982100936023003	0.6151800716768474	0.5988478573845417
