logFC	logCPM	LR	PValue	FDR
AT1G51780	-7.48652721164697	4.94341317464257	321.174859136712	8.03513036532455e-72	1.64591610403308e-67
AT1G43160	-9.27131852080743	5.78202542381515	266.96973670933	5.19224892056103e-60	5.3179013444386e-56
AT2G38240	-7.18903331102767	7.11381576158583	211.679356756677	5.908599375037e-48	4.03439165327527e-44
AT2G32510	-5.35117801131182	4.04994656166193	186.197219694783	2.15000272352336e-42	1.10101639471631e-38
AT5G10410	-4.73840605796522	4.49994399248462	166.961440477108	3.41077054052799e-38	1.39732447504351e-34
AT4G08170	-4.00218980474229	7.08370060845411	162.185901975918	3.76768591506378e-37	1.28628797140277e-33
AT3G46700	-5.98875354113967	3.21545751605576	156.920590225268	5.32723724648826e-36	1.55890182510093e-32
AT2G37620	-2.9857026242066	5.71158540262986	146.882357136448	8.32623396056254e-34	2.13193220560204e-30
AT5G63450	-7.15418306009372	7.87264156092732	145.667807348024	1.53448949837617e-33	3.49249809830416e-30
AT4G16590	-3.03196620370527	3.32427815720583	138.167436822696	6.69840202817633e-32	1.37210067145164e-28
AT3G27170	-3.50342966965024	4.39717870546072	137.776444720138	8.15606759674618e-32	1.51880807865226e-28
AT2G47180	-3.49911306114026	5.32501522640274	137.420718610324	9.75616779172397e-32	1.66537784204728e-28
AT4G24960	-3.9229127187015	6.95628546162168	135.000363887156	3.30108390896333e-31	5.17880941435139e-28
AT4G27140	-6.68743916326903	1.17763439333094	128.896274707573	7.14567240554091e-30	9.14824709719376e-27
AT1G75450	-3.81135367991605	6.18073163394356	127.296445487786	1.59997378347843e-29	1.82077016559845e-26
AT4G10390	-5.90826360100922	5.33026645761495	126.118130650139	2.89713926972575e-29	3.12342109479275e-26
AT5G38130	-6.46632068946354	1.27512223890514	123.317823318141	1.1880890330219e-28	1.21684078762103e-25
AT1G06640	-2.68239882830056	7.31364827212994	120.024172319374	6.2494512545726e-28	6.09589330946024e-25
AT1G62440	-3.38967150855389	4.30813026464447	119.626511919358	7.6366313958822e-28	7.11039806878414e-25
AT5G12010	-3.37530810441726	6.43259348105784	118.156550262512	1.60229098733032e-27	1.42701428628149e-24
AT5G61780	-3.08774962169649	8.51927374881004	117.343591577571	2.41405906678064e-27	1.99535997350121e-24
AT1G24070	-3.06575725138499	3.99891970188316	114.808975457603	8.66555059071444e-27	6.57426438148868e-24
AT1G28050	-3.07087532652912	6.9013109828675	114.669665398385	9.29621582323376e-27	6.80084589011144e-24
AT2G33380	-6.14568011162334	7.05030588067416	112.61919056827	2.6146473175781e-26	1.84684260873344e-23
AT1G09557	-5.16314175161358	1.57150678738581	112.52663257217	2.73960108640336e-26	1.87059962179621e-23
AT1G14780	-4.37862904087895	4.26366908771007	111.383104730412	4.87732038796576e-26	3.22280744603518e-23
AT2G34070	-2.24228971486146	5.15994729763676	110.986513058105	5.95746204233036e-26	3.81352038984672e-23
AT2G46370	-3.92048048837287	9.16651296347001	110.209610062959	8.81581732260591e-26	5.47221824352301e-23
AT5G65870	-3.42028326550426	3.59830957564748	107.476782324332	3.49981515462449e-25	2.04829181792366e-22
AT3G44320	-2.60817493053322	3.35316984540728	107.087033003826	4.26042492780232e-25	2.42418178391952e-22
AT5G59580	-6.70657477448519	5.0823474248558	105.491265978089	9.53171104573662e-25	5.27696132596943e-22
AT4G37790	-3.21255561368956	5.39146275707187	103.629367405578	2.43934470399323e-24	1.30945944491017e-21
AT1G09350	-2.96044662305523	4.49866300860412	103.586171581763	2.49311259282838e-24	1.30945944491017e-21
AT4G17470	-3.42098737071268	6.73004878447198	101.52252605928	7.0655368439902e-24	3.44596325505465e-21
