logFC	logCPM	LR	PValue	FDR
AT3G04210	2.79088934673851	7.80621336071578	134.861900288781	3.53951043745946e-31	5.17880941435139e-28
AT4G18197	3.69658754747909	6.74790700074508	130.033460167476	4.02927982068064e-30	5.50238452312148e-27
AT4G18203	3.756427128653	3.95351598722892	127.492992391551	1.44911647559103e-29	1.74610011094157e-26
AT5G03380	2.73145859925978	6.40291920051002	117.326243782358	2.43526651716121e-27	1.99535997350121e-24
AT2G29970	3.17378526624491	7.77277834675002	116.955973073117	2.93511345131477e-27	2.31241784372046e-24
AT1G51940	2.49840911280478	5.67120657238746	109.892850931599	1.03433231188531e-25	6.23154796372316e-23
AT4G36550	3.10186685211127	5.91471600058173	102.950570936569	3.43615397786319e-24	1.75965445206374e-21
AT4G01950	2.54795927862136	7.24948262506359	102.490705168525	4.33396371801155e-24	2.16529055609143e-21
AT1G17147	3.25962077872304	4.65252563208192	101.20413512571	8.29759280037952e-24	3.95274164937149e-21
AT1G18570	2.97641131411939	5.83173580916955	101.011423412492	9.14544851592991e-24	4.25762198637064e-21
AT1G74670	2.20755814598621	4.98465888994202	94.2203264223259	2.8228696677969e-22	1.01445021535354e-19
AT1G04833	2.64240461174271	6.10578414025481	93.4250329156478	4.21881026247995e-22	1.45907819003046e-19
AT1G11050	2.64136844405604	6.10658361753608	93.2564069848134	4.59399958942835e-22	1.54268012442378e-19
AT5G09460	2.41696064765473	5.02433384724528	87.5297287598373	8.30225001281964e-21	2.39525759524785e-18
AT2G40095	3.01562456994359	3.75605633091369	84.9983617332059	2.98612390864554e-20	8.26591380333719e-18
AT1G67910	4.119039201464	3.33095081877854	84.551307892915	3.74372464065444e-20	1.02248607385554e-17
AT2G26190	2.30709547579813	7.7621894789483	82.883382346008	8.70398389503773e-20	2.28580007828145e-17
AT3G18710	4.19551524112669	4.3984225190983	82.3775237561091	1.12424989627584e-19	2.91508036396385e-17
AT4G17490	2.33447806181114	7.30917623370162	78.441144039101	8.24175685329882e-19	1.87582385981081e-16
AT1G18010	2.62505468728772	4.8962886134487	74.9634644650629	4.79505857568022e-18	1.02314562358577e-15
AT4G18205	2.731209498003	7.92122847074245	74.6202290097053	5.7055571690129e-18	1.18053164697031e-15
AT4G36180	2.61923989478627	2.33373934193367	74.0674252589666	7.54938824038634e-18	1.51609479133406e-15
AT2G01180	1.96084769207105	7.44705371351388	73.969749640455	7.93233477590652e-18	1.57753345193853e-15
AT1G24260	6.19064378294545	2.85505803899787	73.9127017025584	8.16492351043364e-18	1.60817589603579e-15
AT1G18000	2.62028657697554	4.89292939606866	73.6513736746801	9.32069576526986e-18	1.78434702855876e-15
AT1G67510	2.45217178883868	3.50823006919115	71.5357386884656	2.72281455607375e-17	4.68690196358107e-15
AT4G04075	2.12272845337611	3.56751096409108	71.4104191257192	2.90136004398478e-17	4.91169083809787e-15
AT4G04570	1.80902489797925	6.27923401807691	70.5457197173973	4.49722271980582e-17	7.31119922162718e-15
AT4G00950	2.69517207912332	2.93732001953864	69.6602158340918	7.04528965110034e-17	1.12746650947765e-14
AT5G57220	3.57940926985145	6.14913306193294	69.5906797808997	7.29809410812995e-17	1.15886945512352e-14
AT5G53500	1.81245653143505	4.68504466007121	68.987152553864	9.9106955173704e-17	1.52639614269034e-14
AT4G12980	2.57865983978571	5.95378591135916	68.9679313322349	1.00077590281195e-16	1.52984280546268e-14
AT5G11250	1.81202379346674	4.562882080703	68.6355909134303	1.18447001488931e-16	1.78402086654358e-14
AT4G18880	2.12864939063029	6.5999267507529	67.7616001549948	1.84508090504886e-16	2.64298162650495e-14
